input j; compress_in_place;hash_many;M11;M116;M21;M216;M41;M416;M81;M816;M161;M1616;ipCS;ipCE;ipPARENT;ipROOT;ipKH;ipDKC;ipDKM;
      0;          0;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       0; 0; 0; 0; 0; 0; 0;
      1;          2;   1;          0;   0;   0;   1;   0;   0;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      2;          2;   2;          0;   0;   1;   0;   0;   1;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      3;          4;   3;          0;   0;   1;   1;   0;   1;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      4;          2;   3;          0;   0;   1;   0;   1;   0;   0;   1;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      5;          4;   4;          0;   0;   1;   1;   1;   0;   0;   1;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      6;          4;   5;          0;   0;   2;   0;   1;   1;   0;   1;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      7;          6;   6;          0;   0;   2;   1;   1;   1;   0;   1;   0;   0;       1; 1; 5; 0; 0; 0; 0;
      8;          2;   5;          0;   0;   1;   0;   1;   0;   1;   2;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      9;          4;   6;          0;   0;   1;   1;   1;   0;   1;   2;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     10;          4;   7;          0;   0;   2;   0;   1;   1;   1;   2;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     11;          6;   8;          0;   0;   2;   1;   1;   1;   1;   2;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     12;          4;   8;          0;   0;   2;   0;   2;   0;   1;   3;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     13;          6;   9;          0;   0;   2;   1;   2;   0;   1;   3;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     14;          6;  10;          0;   0;   3;   0;   2;   1;   1;   3;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     15;          8;  11;          0;   0;   3;   1;   2;   1;   1;   3;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     16;          2;   9;          0;   0;   1;   0;   1;   0;   3;   4;   0;   0;       1; 1; 1; 0; 0; 0; 0;
     17;          4;  10;          0;   0;   1;   1;   1;   0;   3;   4;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     18;          4;  11;          0;   0;   2;   0;   1;   1;   3;   4;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     19;          6;  12;          0;   0;   2;   1;   1;   1;   3;   4;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     20;          4;  12;          0;   0;   2;   0;   2;   0;   3;   5;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     21;          6;  13;          0;   0;   2;   1;   2;   0;   3;   5;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     22;          6;  14;          0;   0;   3;   0;   2;   1;   3;   5;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     23;          8;  15;          0;   0;   3;   1;   2;   1;   3;   5;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     24;          4;  14;          0;   0;   2;   0;   2;   0;   4;   6;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     25;          6;  15;          0;   0;   2;   1;   2;   0;   4;   6;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     26;          6;  16;          0;   0;   3;   0;   2;   1;   4;   6;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     27;          8;  17;          0;   0;   3;   1;   2;   1;   4;   6;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     28;          6;  17;          0;   0;   3;   0;   3;   0;   4;   7;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     29;          8;  18;          0;   0;   3;   1;   3;   0;   4;   7;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     30;          8;  19;          0;   0;   4;   0;   3;   1;   4;   7;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     31;         10;  20;          0;   0;   4;   1;   3;   1;   4;   7;   0;   0;       1; 1; 9; 0; 0; 0; 0;
     32;          2;  17;          0;   0;   1;   0;   1;   0;   7;   8;   0;   0;       1; 1; 1; 0; 0; 0; 0;
     33;          4;  18;          0;   0;   1;   1;   1;   0;   7;   8;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     34;          4;  19;          0;   0;   2;   0;   1;   1;   7;   8;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     35;          6;  20;          0;   0;   2;   1;   1;   1;   7;   8;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     36;          4;  20;          0;   0;   2;   0;   2;   0;   7;   9;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     37;          6;  21;          0;   0;   2;   1;   2;   0;   7;   9;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     38;          6;  22;          0;   0;   3;   0;   2;   1;   7;   9;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     39;          8;  23;          0;   0;   3;   1;   2;   1;   7;   9;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     40;          4;  22;          0;   0;   2;   0;   2;   0;   8;  10;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     41;          6;  23;          0;   0;   2;   1;   2;   0;   8;  10;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     42;          6;  24;          0;   0;   3;   0;   2;   1;   8;  10;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     43;          8;  25;          0;   0;   3;   1;   2;   1;   8;  10;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     44;          6;  25;          0;   0;   3;   0;   3;   0;   8;  11;   0;   0;       1; 1; 5; 0; 0; 0; 0;
