input j; compress_in_place;hash_many;M11;M116;M21;M216;M41;M416;M81;M816;M161;M1616;ipCS;ipCE;ipPARENT;ipROOT;ipKH;ipDKC;ipDKM;
    115;         10;  37;          0;   0;   4;   1;   3;   1;   3;   0;  11;  14;       1; 1; 9; 0; 0; 0; 0;
    116;          8;  37;          0;   0;   4;   0;   4;   0;   3;   1;  11;  14;       1; 1; 7; 0; 0; 0; 0;
    117;         10;  38;          0;   0;   4;   1;   4;   0;   3;   1;  11;  14;       1; 1; 9; 0; 0; 0; 0;
    118;         10;  39;          0;   0;   5;   0;   4;   1;   3;   1;  11;  14;       1; 1; 9; 0; 0; 0; 0;
    119;         12;  40;          0;   0;   5;   1;   4;   1;   3;   1;  11;  14;       1; 1;11; 0; 0; 0; 0;
    120;          8;  38;          0;   0;   4;   0;   4;   0;   4;   0;  11;  15;       1; 1; 7; 0; 0; 0; 0;
    121;         10;  39;          0;   0;   4;   1;   4;   0;   4;   0;  11;  15;       1; 1; 9; 0; 0; 0; 0;
    122;         10;  40;          0;   0;   5;   0;   4;   1;   4;   0;  11;  15;       1; 1; 9; 0; 0; 0; 0;
    123;         12;  41;          0;   0;   5;   1;   4;   1;   4;   0;  11;  15;       1; 1;11; 0; 0; 0; 0;
    124;         10;  41;          0;   0;   5;   0;   5;   0;   4;   1;  11;  15;       1; 1; 9; 0; 0; 0; 0;
    125;         12;  42;          0;   0;   5;   1;   5;   0;   4;   1;  11;  15;       1; 1;11; 0; 0; 0; 0;
    126;         12;  43;          0;   0;   6;   0;   5;   1;   4;   1;  11;  15;       1; 1;11; 0; 0; 0; 0;
    127;         14;  44;          0;   0;   6;   1;   5;   1;   4;   1;  11;  15;       1; 1;13; 0; 0; 0; 0;
    128;          2;  34;          0;   0;   1;   0;   1;   0;   1;   0;  15;  16;       1; 1; 1; 0; 0; 0; 0;
    129;          4;  35;          0;   0;   1;   1;   1;   0;   1;   0;  15;  16;       1; 1; 3; 0; 0; 0; 0;
    130;          4;  36;          0;   0;   2;   0;   1;   1;   1;   0;  15;  16;       1; 1; 3; 0; 0; 0; 0;
    131;          6;  37;          0;   0;   2;   1;   1;   1;   1;   0;  15;  16;       1; 1; 5; 0; 0; 0; 0;
    132;          4;  37;          0;   0;   2;   0;   2;   0;   1;   1;  15;  16;       1; 1; 3; 0; 0; 0; 0;
    133;          6;  38;          0;   0;   2;   1;   2;   0;   1;   1;  15;  16;       1; 1; 5; 0; 0; 0; 0;
    134;          6;  39;          0;   0;   3;   0;   2;   1;   1;   1;  15;  16;       1; 1; 5; 0; 0; 0; 0;
    135;          8;  40;          0;   0;   3;   1;   2;   1;   1;   1;  15;  16;       1; 1; 7; 0; 0; 0; 0;
    136;          4;  38;          0;   0;   2;   0;   2;   0;   2;   0;  15;  17;       1; 1; 3; 0; 0; 0; 0;
    137;          6;  39;          0;   0;   2;   1;   2;   0;   2;   0;  15;  17;       1; 1; 5; 0; 0; 0; 0;
    138;          6;  40;          0;   0;   3;   0;   2;   1;   2;   0;  15;  17;       1; 1; 5; 0; 0; 0; 0;
    139;          8;  41;          0;   0;   3;   1;   2;   1;   2;   0;  15;  17;       1; 1; 7; 0; 0; 0; 0;
    140;          6;  41;          0;   0;   3;   0;   3;   0;   2;   1;  15;  17;       1; 1; 5; 0; 0; 0; 0;
    141;          8;  42;          0;   0;   3;   1;   3;   0;   2;   1;  15;  17;       1; 1; 7; 0; 0; 0; 0;
    142;          8;  43;          0;   0;   4;   0;   3;   1;   2;   1;  15;  17;       1; 1; 7; 0; 0; 0; 0;
    143;         10;  44;          0;   0;   4;   1;   3;   1;   2;   1;  15;  17;       1; 1; 9; 0; 0; 0; 0;
    144;          4;  40;          0;   0;   2;   0;   2;   0;   2;   0;  16;  18;       1; 1; 3; 0; 0; 0; 0;
    145;          6;  41;          0;   0;   2;   1;   2;   0;   2;   0;  16;  18;       1; 1; 5; 0; 0; 0; 0;
    146;          6;  42;          0;   0;   3;   0;   2;   1;   2;   0;  16;  18;       1; 1; 5; 0; 0; 0; 0;
    147;          8;  43;          0;   0;   3;   1;   2;   1;   2;   0;  16;  18;       1; 1; 7; 0; 0; 0; 0;
    148;          6;  43;          0;   0;   3;   0;   3;   0;   2;   1;  16;  18;       1; 1; 5; 0; 0; 0; 0;
    149;          8;  44;          0;   0;   3;   1;   3;   0;   2;   1;  16;  18;       1; 1; 7; 0; 0; 0; 0;
    150;          8;  45;          0;   0;   4;   0;   3;   1;   2;   1;  16;  18;       1; 1; 7; 0; 0; 0; 0;
    151;         10;  46;          0;   0;   4;   1;   3;   1;   2;   1;  16;  18;       1; 1; 9; 0; 0; 0; 0;
    152;          6;  44;          0;   0;   3;   0;   3;   0;   3;   0;  16;  19;       1; 1; 5; 0; 0; 0; 0;
    153;          8;  45;          0;   0;   3;   1;   3;   0;   3;   0;  16;  19;       1; 1; 7; 0; 0; 0; 0;
    154;          8;  46;          0;   0;   4;   0;   3;   1;   3;   0;  16;  19;       1; 1; 7; 0; 0; 0; 0;
    155;         10;  47;          0;   0;   4;   1;   3;   1;   3;   0;  16;  19;       1; 1; 9; 0; 0; 0; 0;
    156;          8;  47;          0;   0;   4;   0;   4;   0;   3;   1;  16;  19;       1; 1; 7; 0; 0; 0; 0;
    157;         10;  48;          0;   0;   4;   1;   4;   0;   3;   1;  16;  19;       1; 1; 9; 0; 0; 0; 0;
    158;         10;  49;          0;   0;   5;   0;   4;   1;   3;   1;  16;  19;       1; 1; 9; 0; 0; 0; 0;
    159;         12;  50;          0;   0;   5;   1;   4;   1;   3;   1;  16;  19;       1; 1;11; 0; 0; 0; 0;
    160;          4;  44;          0;   0;   2;   0;   2;   0;   2;   0;  18;  20;       1; 1; 3; 0; 0; 0; 0;
    161;          6;  45;          0;   0;   2;   1;   2;   0;   2;   0;  18;  20;       1; 1; 5; 0; 0; 0; 0;
    162;          6;  46;          0;   0;   3;   0;   2;   1;   2;   0;  18;  20;       1; 1; 5; 0; 0; 0; 0;
    163;          8;  47;          0;   0;   3;   1;   2;   1;   2;   0;  18;  20;       1; 1; 7; 0; 0; 0; 0;
    164;          6;  47;          0;   0;   3;   0;   3;   0;   2;   1;  18;  20;       1; 1; 5; 0; 0; 0; 0;
    165;          8;  48;          0;   0;   3;   1;   3;   0;   2;   1;  18;  20;       1; 1; 7; 0; 0; 0; 0;
    166;          8;  49;          0;   0;   4;   0;   3;   1;   2;   1;  18;  20;       1; 1; 7; 0; 0; 0; 0;
    167;         10;  50;          0;   0;   4;   1;   3;   1;   2;   1;  18;  20;       1; 1; 9; 0; 0; 0; 0;
    168;          6;  48;          0;   0;   3;   0;   3;   0;   3;   0;  18;  21;       1; 1; 5; 0; 0; 0; 0;
    169;          8;  49;          0;   0;   3;   1;   3;   0;   3;   0;  18;  21;       1; 1; 7; 0; 0; 0; 0;
    170;          8;  50;          0;   0;   4;   0;   3;   1;   3;   0;  18;  21;       1; 1; 7; 0; 0; 0; 0;
    171;         10;  51;          0;   0;   4;   1;   3;   1;   3;   0;  18;  21;       1; 1; 9; 0; 0; 0; 0;
    172;          8;  51;          0;   0;   4;   0;   4;   0;   3;   1;  18;  21;       1; 1; 7; 0; 0; 0; 0;
    173;         10;  52;          0;   0;   4;   1;   4;   0;   3;   1;  18;  21;       1; 1; 9; 0; 0; 0; 0;
    174;         10;  53;          0;   0;   5;   0;   4;   1;   3;   1;  18;  21;       1; 1; 9; 0; 0; 0; 0;
    175;         12;  54;          0;   0;   5;   1;   4;   1;   3;   1;  18;  21;       1; 1;11; 0; 0; 0; 0;
    176;          6;  50;          0;   0;   3;   0;   3;   0;   3;   0;  19;  22;       1; 1; 5; 0; 0; 0; 0;
    177;          8;  51;          0;   0;   3;   1;   3;   0;   3;   0;  19;  22;       1; 1; 7; 0; 0; 0; 0;
    178;          8;  52;          0;   0;   4;   0;   3;   1;   3;   0;  19;  22;       1; 1; 7; 0; 0; 0; 0;
    179;         10;  53;          0;   0;   4;   1;   3;   1;   3;   0;  19;  22;       1; 1; 9; 0; 0; 0; 0;
    180;          8;  53;          0;   0;   4;   0;   4;   0;   3;   1;  19;  22;       1; 1; 7; 0; 0; 0; 0;
    181;         10;  54;          0;   0;   4;   1;   4;   0;   3;   1;  19;  22;       1; 1; 9; 0; 0; 0; 0;
    182;         10;  55;          0;   0;   5;   0;   4;   1;   3;   1;  19;  22;       1; 1; 9; 0; 0; 0; 0;
    183;         12;  56;          0;   0;   5;   1;   4;   1;   3;   1;  19;  22;       1; 1;11; 0; 0; 0; 0;
    184;          8;  54;          0;   0;   4;   0;   4;   0;   4;   0;  19;  23;       1; 1; 7; 0; 0; 0; 0;
    185;         10;  55;          0;   0;   4;   1;   4;   0;   4;   0;  19;  23;       1; 1; 9; 0; 0; 0; 0;
    186;         10;  56;          0;   0;   5;   0;   4;   1;   4;   0;  19;  23;       1; 1; 9; 0; 0; 0; 0;
    187;         12;  57;          0;   0;   5;   1;   4;   1;   4;   0;  19;  23;       1; 1;11; 0; 0; 0; 0;
    188;         10;  57;          0;   0;   5;   0;   5;   0;   4;   1;  19;  23;       1; 1; 9; 0; 0; 0; 0;
    189;         12;  58;          0;   0;   5;   1;   5;   0;   4;   1;  19;  23;       1; 1;11; 0; 0; 0; 0;
    190;         12;  59;          0;   0;   6;   0;   5;   1;   4;   1;  19;  23;       1; 1;11; 0; 0; 0; 0;
    191;         14;  60;          0;   0;   6;   1;   5;   1;   4;   1;  19;  23;       1; 1;13; 0; 0; 0; 0;
    192;          4;  52;          0;   0;   2;   0;   2;   0;   2;   0;  22;  24;       1; 1; 3; 0; 0; 0; 0;
    193;          6;  53;          0;   0;   2;   1;   2;   0;   2;   0;  22;  24;       1; 1; 5; 0; 0; 0; 0;
    194;          6;  54;          0;   0;   3;   0;   2;   1;   2;   0;  22;  24;       1; 1; 5; 0; 0; 0; 0;
    195;          8;  55;          0;   0;   3;   1;   2;   1;   2;   0;  22;  24;       1; 1; 7; 0; 0; 0; 0;
    196;          6;  55;          0;   0;   3;   0;   3;   0;   2;   1;  22;  24;       1; 1; 5; 0; 0; 0; 0;
    197;          8;  56;          0;   0;   3;   1;   3;   0;   2;   1;  22;  24;       1; 1; 7; 0; 0; 0; 0;
    198;          8;  57;          0;   0;   4;   0;   3;   1;   2;   1;  22;  24;       1; 1; 7; 0; 0; 0; 0;
    199;         10;  58;          0;   0;   4;   1;   3;   1;   2;   1;  22;  24;       1; 1; 9; 0; 0; 0; 0;
    200;          6;  56;          0;   0;   3;   0;   3;   0;   3;   0;  22;  25;       1; 1; 5; 0; 0; 0; 0;
    201;          8;  57;          0;   0;   3;   1;   3;   0;   3;   0;  22;  25;       1; 1; 7; 0; 0; 0; 0;
    202;          8;  58;          0;   0;   4;   0;   3;   1;   3;   0;  22;  25;       1; 1; 7; 0; 0; 0; 0;
    203;         10;  59;          0;   0;   4;   1;   3;   1;   3;   0;  22;  25;       1; 1; 9; 0; 0; 0; 0;
    204;          8;  59;          0;   0;   4;   0;   4;   0;   3;   1;  22;  25;       1; 1; 7; 0; 0; 0; 0;
    205;         10;  60;          0;   0;   4;   1;   4;   0;   3;   1;  22;  25;       1; 1; 9; 0; 0; 0; 0;
    206;         10;  61;          0;   0;   5;   0;   4;   1;   3;   1;  22;  25;       1; 1; 9; 0; 0; 0; 0;
    207;         12;  62;          0;   0;   5;   1;   4;   1;   3;   1;  22;  25;       1; 1;11; 0; 0; 0; 0;
    208;          6;  58;          0;   0;   3;   0;   3;   0;   3;   0;  23;  26;       1; 1; 5; 0; 0; 0; 0;
    209;          8;  59;          0;   0;   3;   1;   3;   0;   3;   0;  23;  26;       1; 1; 7; 0; 0; 0; 0;
    210;          8;  60;          0;   0;   4;   0;   3;   1;   3;   0;  23;  26;       1; 1; 7; 0; 0; 0; 0;
    211;         10;  61;          0;   0;   4;   1;   3;   1;   3;   0;  23;  26;       1; 1; 9; 0; 0; 0; 0;
    212;          8;  61;          0;   0;   4;   0;   4;   0;   3;   1;  23;  26;       1; 1; 7; 0; 0; 0; 0;
    213;         10;  62;          0;   0;   4;   1;   4;   0;   3;   1;  23;  26;       1; 1; 9; 0; 0; 0; 0;
    214;         10;  63;          0;   0;   5;   0;   4;   1;   3;   1;  23;  26;       1; 1; 9; 0; 0; 0; 0;
    215;         12;  64;          0;   0;   5;   1;   4;   1;   3;   1;  23;  26;       1; 1;11; 0; 0; 0; 0;
    216;          8;  62;          0;   0;   4;   0;   4;   0;   4;   0;  23;  27;       1; 1; 7; 0; 0; 0; 0;
    217;         10;  63;          0;   0;   4;   1;   4;   0;   4;   0;  23;  27;       1; 1; 9; 0; 0; 0; 0;
    218;         10;  64;          0;   0;   5;   0;   4;   1;   4;   0;  23;  27;       1; 1; 9; 0; 0; 0; 0;
    219;         12;  65;          0;   0;   5;   1;   4;   1;   4;   0;  23;  27;       1; 1;11; 0; 0; 0; 0;
    220;         10;  65;          0;   0;   5;   0;   5;   0;   4;   1;  23;  27;       1; 1; 9; 0; 0; 0; 0;
    221;         12;  66;          0;   0;   5;   1;   5;   0;   4;   1;  23;  27;       1; 1;11; 0; 0; 0; 0;
    222;         12;  67;          0;   0;   6;   0;   5;   1;   4;   1;  23;  27;       1; 1;11; 0; 0; 0; 0;
    223;         14;  68;          0;   0;   6;   1;   5;   1;   4;   1;  23;  27;       1; 1;13; 0; 0; 0; 0;
    224;          6;  62;          0;   0;   3;   0;   3;   0;   3;   0;  25;  28;       1; 1; 5; 0; 0; 0; 0;
