input j; compress_in_place;hash_many;M11;M116;M21;M216;M41;M416;M81;M816;M161;M1616;ipCS;ipCE;ipPARENT;ipROOT;ipKH;ipDKC;ipDKM;
      0;          0;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       0; 0; 0; 0; 0; 0; 0;
      1;          2;   2;          0;   2;   0;   0;   0;   0;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      2;          2;   5;          0;   4;   1;   0;   0;   0;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      3;          4;   7;          0;   6;   1;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      4;          2;  11;          0;   8;   3;   0;   0;   0;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      5;          4;  13;          0;  10;   3;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      6;          4;  16;          0;  12;   4;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
      7;          6;  18;          0;  14;   4;   0;   0;   0;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
      8;          2;  23;          0;  16;   7;   0;   0;   0;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
      9;          4;  25;          0;  18;   7;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     10;          4;  28;          0;  20;   8;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     11;          6;  30;          0;  22;   8;   0;   0;   0;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     12;          4;  34;          0;  24;  10;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     13;          6;  36;          0;  26;  10;   0;   0;   0;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     14;          6;  39;          0;  28;  11;   0;   0;   0;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     15;          8;  41;          0;  30;  11;   0;   0;   0;   0;   0;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     16;          2;  47;          0;  32;  15;   0;   0;   0;   0;   0;   0;   0;       1; 1; 1; 0; 0; 0; 0;
     17;          4;  49;          0;  34;  15;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     18;          4;  52;          0;  36;  16;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     19;          6;  54;          0;  38;  16;   0;   0;   0;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     20;          4;  58;          0;  40;  18;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
     21;          6;  60;          0;  42;  18;   0;   0;   0;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     22;          6;  63;          0;  44;  19;   0;   0;   0;   0;   0;   0;   0;       1; 1; 5; 0; 0; 0; 0;
     23;          8;  65;          0;  46;  19;   0;   0;   0;   0;   0;   0;   0;       1; 1; 7; 0; 0; 0; 0;
     24;          4;  70;          0;  48;  22;   0;   0;   0;   0;   0;   0;   0;       1; 1; 3; 0; 0; 0; 0;
