input Block; compress_in_place;hash_many;M11;M116;M21;M216;M41;M416;M81;M816;M161;M1616;ipCS;ipCE;ipPARENT;ipROOT;ipKH;ipDKC;ipDKM;
      0;          0;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       0; 0; 0; 0; 0; 0; 0;
      1;          0;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       0; 0; 0; 0; 0; 0; 0;
      2;          1;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
      3;          2;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
      4;          3;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
      5;          4;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
      6;          5;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
      7;          6;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
      8;          7;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
      9;          8;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
     10;          9;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
     11;         10;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
     12;         11;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
     13;         12;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
     14;         13;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
     15;         14;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
     16;         15;   0;          0;   0;   0;   0;   0;   0;   0;   0;   0;   0;       1; 0; 0; 0; 0; 0; 0;
