simd=1
cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
input Bytes      compress_in_place       compress_xof   hash_many
00000;          0;      1;      0;
00001;          0;      1;      0;
00002;          0;      1;      0;
00003;          0;      1;      0;
00004;          0;      1;      0;
00005;          0;      1;      0;
00006;          0;      1;      0;
00007;          0;      1;      0;
00008;          0;      1;      0;
00063;          0;      1;      0;
00064;          0;      1;      0;
00065;          1;      1;      0;
00127;          1;      1;      0;
00128;          1;      1;      0;
00129;          2;      1;      0;
00255;          3;      1;      0;
00256;          3;      1;      0;
00257;          4;      1;      0;
00512;          7;      1;      0;
00513;          8;      1;      0;
01023;          15;     1;      0;
01024;          15;     1;      0;
01025;          17;     1;      0;
02048;          0;      1;      2;
02049;          2;      1;      2;
03072;          17;     1;      2;
03073;          19;     1;      2;
04096;          0;      1;      5;
04097;          2;      1;      5;
05120;          17;     1;      5;
05121;          19;     1;      5;
06144;          2;      1;      7;
06145;          4;      1;      7;
07168;          19;     1;      7;
07169;          21;     1;      7;
08192;          0;      1;      11;
08193;          2;      1;      11;
16384;          0;      1;      23;
16385;          2;      1;      23;
31744;          23;     1;      41;
31745;          25;     1;      41;
65536;          0;      1;      95;
65537;          2;      1;      95;
102400;         4;      1;      147;
102401;         6;      1;      147;
131072;         0;      1;      191;
131073;         2;      1;      191;
262144;         0;      1;      383;
262145;         2;      1;      383;
524288;         0;      1;      767;
524289;         2;      1;      767;
1048576;                0;      1;      1535;
1048577;                2;      1;      1535;
2097152;                0;      1;      3071;
2097153;                2;      1;      3071;
cccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccccc
